College_Code,College_Name,Branch_Code,Branch_Name,OC,BC,BCM,MBC,SC,SCA,ST,BC_is_missing,BCM_is_missing,MBC_is_missing,SC_is_missing,SCA_is_missing,ST_is_missing,College_Name_is_missing,Branch_Code_is_missing,Branch_Name_is_missing
1,8,2,7,196.25,195.25,193.25,194.25,188.75,185.75,175.25,False,False,False,False,False,False,False,False,False
1,8,8,13,198.25,197.5,197.25,196.5,193.0,191.75,188.0,False,False,False,False,False,False,False,False,False
1,8,9,26,198.5,198.0,197.5,197.5,196.0,193.5,196.0,False,False,False,False,False,False,False,False,False
1,8,12,30,199.0,198.75,199.0,197.75,193.5,190.5,193.33,False,False,False,False,False,False,False,False,False
1,8,14,29,199.75,199.5,199.5,199.0,197.5,196.25,193.75,False,False,False,False,False,False,False,False,False
1,8,16,43,200.0,199.75,199.75,199.25,198.25,197.0,190.25,False,False,False,False,False,False,False,False,False
1,8,17,40,199.25,199.0,198.5,198.75,196.5,197.0,193.25,False,False,False,False,False,False,False,False,False
1,8,19,42,199.25,199.0,198.0,198.5,195.5,194.5,189.0,False,False,False,False,False,False,False,False,False
1,8,22,53,196.75,196.0,194.0,194.75,188.75,186.25,167.0,False,False,False,False,False,True,False,False,False
1,8,24,62,196.5,196.0,195.5,194.25,186.75,184.0,167.0,False,False,False,False,False,True,False,False,False
1,8,25,65,198.5,198.0,197.75,197.0,191.5,184.5,172.0,False,False,False,False,False,False,False,False,False
1,8,29,76,196.0,195.5,194.75,194.25,184.0,179.75,167.0,False,False,False,False,False,True,False,False,False
1,8,30,79,199.25,199.0,198.5,198.25,196.5,196.5,190.75,False,False,False,False,False,False,False,False,False
1,8,32,83,197.0,196.0,193.25,195.0,188.75,191.0,167.0,False,False,False,False,False,True,False,False,False
1,8,34,74,197.25,196.5,196.75,195.5,187.0,193.0,167.0,False,False,False,False,False,True,False,False,False
1,8,38,92,195.0,194.25,190.75,192.5,183.75,180.25,164.5,False,False,False,False,False,False,False,False,False
1,8,41,27,192.25,190.5,190.5,188.75,179.5,173.0,161.0,False,False,False,False,False,False,False,False,False
1,8,42,80,193.5,191.0,191.25,189.25,180.0,175.75,164.25,False,False,False,False,False,False,False,False,False
2,7,4,9,193.25,192.0,191.0,190.0,178.5,173.25,167.0,False,False,False,False,False,True,False,False,False
2,7,10,24,198.5,197.75,196.75,197.0,193.5,195.25,185.25,False,False,False,False,False,False,False,False,False
2,7,11,17,197.25,197.0,196.5,195.5,188.0,183.75,176.0,False,False,False,False,False,False,False,False,False
2,7,13,23,192.75,192.0,190.25,190.25,178.0,170.75,167.0,False,False,False,False,False,True,False,False,False
2,7,21,51,196.0,195.25,194.25,193.5,186.25,175.5,167.0,False,False,False,False,False,True,False,False,False
2,7,23,60,197.75,197.0,195.75,195.5,193.0,192.75,167.0,False,False,False,False,False,True,False,False,False
2,7,26,61,197.0,196.5,195.25,194.75,186.0,184.75,167.0,False,False,False,False,False,True,False,False,False
2,7,28,67,193.75,192.75,193.0,191.25,181.75,179.75,178.5,False,False,False,False,False,False,False,False,False
2,7,35,91,195.0,194.25,194.75,192.25,183.5,172.5,167.0,False,False,False,False,False,True,False,False,False
2,7,36,88,195.75,195.0,194.75,193.5,185.75,176.25,165.25,False,False,False,False,False,False,False,False,False
2,7,40,99,193.75,193.0,192.25,191.75,182.0,177.0,157.25,False,False,False,False,False,False,False,False,False
4,9,1,6,198.25,197.33,197.75,197.0,194.75,195.0,167.0,False,False,False,False,False,True,False,False,False
4,9,5,11,196.75,196.25,196.5,195.0,187.0,185.0,167.0,False,False,False,False,False,True,False,False,False
4,9,6,10,197.5,197.0,196.75,195.75,191.25,187.0,180.75,False,False,False,False,False,False,False,False,False
4,9,12,30,198.5,198.33,197.5,197.0,192.0,186.0,167.0,False,False,False,False,False,True,False,False,False
4,9,14,29,198.75,198.5,198.0,197.75,195.0,197.5,192.25,False,False,False,False,False,False,False,False,False
4,9,16,43,199.25,199.0,198.0,198.25,196.5,196.25,188.25,False,False,False,False,False,False,False,False,False
4,9,18,47,198.25,198.0,197.75,197.25,192.75,190.75,176.5,False,False,False,False,False,False,False,False,False
4,9,19,42,198.75,198.5,197.0,197.75,193.5,188.75,177.75,False,False,False,False,False,False,False,False,False
4,9,20,46,197.75,197.25,196.75,196.25,189.75,179.5,167.0,False,False,False,False,False,True,False,False,False
4,9,25,65,197.75,197.5,196.25,196.0,188.75,180.0,168.0,False,False,False,False,False,False,False,False,False
4,9,31,82,198.75,198.25,197.5,197.75,194.25,191.5,186.75,False,False,False,False,False,False,False,False,False
4,9,37,94,196.75,196.25,195.5,194.75,186.75,186.25,168.0,False,False,False,False,False,False,False,False,False
4,9,39,97,194.75,193.5,191.5,193.0,183.75,174.75,161.25,False,False,False,False,False,False,False,False,False
1013,6,14,29,179.25,174.0,168.75,175.5,162.75,163.25,149.25,False,False,False,False,False,False,False,False,False
1013,6,16,43,183.75,176.75,177.75,180.25,165.5,138.0,167.0,False,False,False,False,False,True,False,False,False
1013,6,27,64,173.75,165.5,145.25,163.25,156.75,134.75,167.0,False,False,False,False,False,True,False,False,False
1013,6,30,79,180.25,176.0,174.0,176.5,167.5,144.25,175.25,False,False,False,False,False,False,False,False,False
1013,6,42,80,125.0,92.75,186.375,92.5,96.0,161.75,167.0,False,True,False,False,True,True,False,False,False
1014,5,9,26,174.75,158.75,156.5,163.75,161.5,122.25,139.5,False,False,False,False,False,False,False,False,False
1014,5,14,29,173.5,167.0,156.0,168.25,161.25,164.5,139.25,False,False,False,False,False,False,False,False,False
1014,5,16,43,180.25,172.5,160.25,172.75,161.75,118.0,167.0,False,False,False,False,False,True,False,False,False
1014,5,27,64,162.5,155.75,151.0,157.0,152.75,113.75,167.0,False,False,False,False,False,True,False,False,False
1014,5,41,27,100.25,90.25,186.375,184.625,172.5,161.75,167.0,False,True,True,True,True,True,False,False,False
1015,3,14,29,169.75,162.0,143.75,163.0,151.0,99.5,131.0,False,False,False,False,False,False,False,False,False
1015,3,16,43,182.25,173.25,105.5,173.25,151.75,153.0,155.0,False,False,False,False,False,False,False,False,False
1015,3,17,40,175.25,168.0,142.25,171.25,150.0,128.75,135.0,False,False,False,False,False,False,False,False,False
1015,3,30,79,177.0,171.25,164.75,172.0,158.5,127.25,167.0,False,False,False,False,False,True,False,False,False
1015,3,42,80,109.75,108.0,186.375,95.5,85.5,161.75,167.0,False,True,False,False,True,True,False,False,False
1026,4,14,29,187.25,183.0,178.75,179.5,165.25,174.0,140.75,False,False,False,False,False,False,False,False,False
1026,4,16,43,189.5,187.5,169.75,184.25,167.0,143.75,167.0,False,False,False,False,False,True,False,False,False
1026,4,17,40,184.5,180.5,166.75,178.5,164.75,146.5,167.0,False,False,False,False,False,True,False,False,False
1,8,2,2,194.75,192.25,191.0,189.5,184.5,164.5,168.75,False,False,False,False,False,False,False,False,False
1,8,8,12,196.75,195.25,195.0,194.0,190.5,186.75,181.25,False,False,False,False,False,False,False,False,False
1,8,9,18,196.75,196.0,196.25,195.25,191.5,189.5,176.0,False,False,False,False,False,False,False,False,False
1,8,12,21,198.5,198.0,197.5,196.75,188.25,183.5,182.25,False,False,False,False,False,False,False,False,False
1,8,14,20,199.5,199.25,198.75,198.25,195.5,195.25,190.75,False,False,False,False,False,False,False,False,False
1,8,16,36,199.33,198.75,198.25,198.5,195.75,193.25,187.25,False,False,False,False,False,False,False,False,False
1,8,17,35,198.25,197.5,196.75,197.25,194.75,191.25,173.75,False,False,False,False,False,False,False,False,False
1,8,19,37,198.25,197.75,195.25,196.5,190.5,180.25,172.75,False,False,False,False,False,False,False,False,False
1,8,22,52,194.0,192.75,191.75,190.25,180.0,141.0,167.0,False,False,False,False,False,True,False,False,False
1,8,24,56,195.25,192.5,188.75,190.0,179.5,153.25,167.0,False,False,False,False,False,True,False,False,False
1,8,25,58,197.25,197.0,195.0,195.0,185.5,178.5,187.75,False,False,False,False,False,False,False,False,False
1,8,29,69,192.75,190.25,187.75,188.0,174.25,164.75,167.0,False,False,False,False,False,True,False,False,False
1,8,30,70,198.0,197.25,195.75,196.25,192.75,190.0,186.75,False,False,False,False,False,False,False,False,False
1,8,32,73,194.0,191.75,189.75,191.75,182.5,177.0,167.0,False,False,False,False,False,True,False,False,False
1,8,34,68,194.0,192.25,191.25,191.25,184.0,158.5,167.0,False,False,False,False,False,True,False,False,False
1,8,38,86,191.75,190.0,187.0,187.25,172.75,175.0,143.25,False,False,False,False,False,False,False,False,False
1,8,41,19,185.5,175.75,173.0,173.0,157.5,164.25,158.5,False,False,False,False,False,False,False,False,False
1,8,42,71,187.25,180.25,178.75,174.5,154.0,132.0,167.0,False,False,False,False,False,True,False,False,False
2,7,4,3,188.5,184.75,184.5,179.0,162.0,118.5,167.0,False,False,False,False,False,True,False,False,False
2,7,10,16,196.5,196.0,195.5,193.25,190.25,188.25,171.5,False,False,False,False,False,False,False,False,False
2,7,11,17,194.75,193.75,193.0,191.0,183.0,178.75,125.0,False,False,False,False,False,False,False,False,False
2,7,13,15,188.0,185.75,178.5,180.25,164.25,119.25,167.0,False,False,False,False,False,True,False,False,False
2,7,21,49,192.75,191.75,190.5,190.0,176.0,176.25,167.0,False,False,False,False,False,True,False,False,False
2,7,23,54,197.0,195.0,189.25,192.25,187.75,174.0,167.0,False,False,False,False,False,True,False,False,False
2,7,26,55,194.0,192.25,189.0,189.25,177.25,148.75,167.0,False,False,False,False,False,True,False,False,False
2,7,28,66,187.25,185.0,182.0,180.75,168.75,174.75,135.0,False,False,False,False,False,False,False,False,False
2,7,35,85,191.5,189.75,189.25,186.25,171.5,128.75,167.0,False,False,False,False,False,True,False,False,False
2,7,36,84,192.25,189.75,186.25,187.0,174.75,161.75,165.75,False,False,False,False,False,False,False,False,False
2,7,40,98,190.0,188.25,183.0,185.0,175.25,180.75,160.5,False,False,False,False,False,False,False,False,False
4,9,1,1,197.25,195.75,194.25,194.33,191.0,185.5,167.0,False,False,False,False,False,True,False,False,False
4,9,5,5,192.67,191.5,190.0,189.5,178.75,158.0,167.0,False,False,False,False,False,True,False,False,False
4,9,6,4,195.33,194.25,191.75,193.0,182.25,179.0,171.25,False,False,False,False,False,False,False,False,False
4,9,12,21,197.25,197.0,194.75,195.75,187.0,174.0,167.0,False,False,False,False,False,True,False,False,False
4,9,14,20,198.0,197.5,197.5,196.5,192.25,189.25,185.5,False,False,False,False,False,False,False,False,False
4,9,16,36,197.75,197.5,196.5,196.75,194.0,191.75,183.5,False,False,False,False,False,False,False,False,False
4,9,18,39,196.5,195.75,192.0,194.75,187.75,184.5,166.0,False,False,False,False,False,False,False,False,False
4,9,19,37,196.75,196.5,192.25,195.5,186.75,170.75,172.5,False,False,False,False,False,False,False,False,False
4,9,20,38,195.25,194.75,191.5,193.5,182.5,167.0,167.0,False,False,False,False,False,True,False,False,False
4,9,25,58,196.5,195.75,193.75,194.25,183.0,166.5,170.75,False,False,False,False,False,False,False,False,False
4,9,31,72,196.5,196.25,194.0,195.0,190.0,182.75,168.75,False,False,False,False,False,False,False,False,False
4,9,37,87,193.5,192.25,189.75,189.75,178.0,169.5,119.75,False,False,False,False,False,False,False,False,False
4,9,39,95,190.0,188.0,185.25,185.5,172.0,146.75,141.75,False,False,False,False,False,False,False,False,False
1013,6,14,20,175.0,161.75,159.25,163.5,143.5,161.75,118.0,False,False,False,False,True,False,False,False,False
1013,6,16,36,173.5,148.0,162.5,165.5,139.5,157.75,167.0,False,False,False,False,False,True,False,False,False
1013,6,27,57,165.25,150.75,158.75,153.75,136.75,90.5,167.0,False,False,False,False,False,True,False,False,False
1013,6,30,70,168.75,157.25,162.5,160.5,130.75,136.75,167.0,False,False,False,False,False,True,False,False,False
1013,6,42,71,87.0,188.5,186.375,184.625,172.5,161.75,167.0,True,True,True,True,True,True,False,False,False
1014,5,9,18,140.5,94.0,95.0,125.5,100.5,161.75,116.75,False,False,False,False,True,False,False,False,False
1014,5,14,20,162.0,145.0,120.25,143.0,132.75,161.75,97.5,False,False,False,False,True,False,False,False,False
1014,5,16,36,165.5,140.25,111.5,152.25,115.75,122.0,167.0,False,False,False,False,False,True,False,False,False
1014,5,27,57,157.25,136.75,109.0,146.75,118.75,127.5,167.0,False,False,False,False,False,True,False,False,False
1014,5,41,19,122.25,188.5,186.375,184.625,172.5,161.75,167.0,True,True,True,True,True,True,False,False,False
1015,3,14,20,165.0,151.25,108.0,141.25,115.25,161.75,118.0,False,False,False,False,True,False,False,False,False
1015,3,16,36,152.25,141.5,113.75,131.0,97.5,105.25,94.0,False,False,False,False,False,False,False,False,False
1015,3,17,35,156.75,126.0,186.375,129.0,115.0,161.75,138.75,False,True,False,False,True,False,False,False,False
1015,3,30,70,154.75,138.0,137.0,143.75,119.0,137.75,167.0,False,False,False,False,False,True,False,False,False
1015,3,42,71,86.75,188.5,186.375,184.625,172.5,161.75,167.0,True,True,True,True,True,True,False,False,False
1026,4,14,20,181.5,174.0,175.0,172.25,158.25,167.0,109.25,False,False,False,False,False,False,False,False,False
1026,4,16,36,180.25,175.0,175.25,170.75,157.25,161.75,167.0,False,False,False,False,True,True,False,False,False
1026,4,17,35,169.5,159.25,131.75,158.25,144.5,136.0,167.0,False,False,False,False,False,True,False,False,False
1,13,8,14,192.0,188.0,188.0,187.5,178.5,152.0,144.5,False,False,False,False,False,False,False,False,False
1,13,9,26,189.75,188.5,186.0,186.0,183.0,152.5,171.5,False,False,False,False,False,False,False,False,False
1,13,12,34,195.0,194.0,192.5,191.5,183.0,182.0,176.5,False,False,False,False,False,False,False,False,False
1,13,14,31,198.0,196.5,197.5,194.75,190.25,161.75,171.0,False,False,False,False,True,False,False,False,False
1,13,16,45,196.75,195.5,195.0,193.0,191.0,179.5,186.0,False,False,False,False,False,False,False,False,False
1,13,17,41,195.0,192.0,190.0,191.5,184.5,176.5,182.75,False,False,False,False,False,False,False,False,False
1,13,19,44,193.33,191.75,191.0,189.0,179.0,154.5,170.75,False,False,False,False,False,False,False,False,False
1,13,22,53,187.5,185.25,183.0,183.5,174.0,170.25,165.0,False,False,False,False,False,False,False,False,False
1,13,24,62,185.0,183.0,181.5,178.0,164.25,156.5,167.0,False,False,False,False,False,True,False,False,False
1,13,25,63,192.5,190.5,189.0,188.5,177.0,155.0,181.25,False,False,False,False,False,False,False,False,False
1,13,29,75,183.0,178.5,181.5,172.0,168.5,134.5,167.0,False,False,False,False,False,True,False,False,False
1,13,30,79,192.5,190.5,189.75,187.5,183.5,172.5,177.0,False,False,False,False,False,False,False,False,False
1,13,32,83,187.0,183.0,184.75,179.0,179.0,162.5,167.0,False,False,False,False,False,True,False,False,False
1,13,34,74,184.0,180.0,178.5,176.5,163.25,144.5,167.0,False,False,False,False,False,True,False,False,False
1,13,38,93,180.5,178.0,177.0,172.0,167.0,167.5,167.0,False,False,False,False,False,True,False,False,False
1,13,41,27,175.75,169.0,172.5,162.0,148.0,160.67,167.0,False,False,False,False,False,True,False,False,False
1,13,42,80,176.0,169.75,163.5,158.0,138.0,161.75,167.0,False,False,False,False,True,True,False,False,False
2,12,4,8,174.0,166.5,168.0,155.5,139.0,113.5,167.0,False,False,False,False,False,True,False,False,False
2,12,10,24,190.0,188.5,187.5,184.0,176.0,174.0,134.0,False,False,False,False,False,False,False,False,False
2,12,11,25,187.0,185.0,182.0,179.0,163.5,138.5,167.0,False,False,False,False,False,True,False,False,False
2,12,13,22,168.0,162.5,156.0,154.0,144.5,113.5,167.0,False,False,False,False,False,True,False,False,False
2,12,21,50,186.0,183.5,176.0,173.5,170.0,139.5,147.25,False,False,False,False,False,False,False,False,False
2,12,23,60,190.75,187.0,182.5,179.75,166.5,149.0,167.0,False,False,False,False,False,True,False,False,False
2,12,26,59,190.0,184.0,180.0,172.25,163.75,138.5,167.0,False,False,False,False,False,True,False,False,False
2,12,28,67,169.0,162.5,152.5,157.0,148.5,121.0,126.0,False,False,False,False,False,False,False,False,False
2,12,35,90,179.0,173.5,175.5,167.0,150.5,143.0,124.5,False,False,False,False,False,False,False,False,False
2,12,36,89,178.5,173.0,175.0,167.5,150.0,117.5,167.0,False,False,False,False,False,True,False,False,False
2,12,40,99,173.0,165.0,159.5,164.5,142.0,133.5,139.5,False,False,False,False,False,False,False,False,False
4,15,1,6,192.0,190.0,185.5,185.0,179.0,166.0,167.0,False,False,False,False,False,True,False,False,False
4,15,5,11,183.5,180.0,177.0,174.5,159.0,123.5,167.0,False,False,False,False,False,True,False,False,False
4,15,6,10,187.5,185.0,179.0,177.5,170.0,155.5,150.0,False,False,False,False,False,False,False,False,False
4,15,12,34,193.0,192.0,188.5,190.0,179.0,149.0,148.0,False,False,False,False,False,False,False,False,False
4,15,14,31,194.5,193.25,190.0,191.5,184.5,190.0,165.5,False,False,False,False,False,False,False,False,False
4,15,16,45,193.5,192.0,190.0,190.0,183.75,173.5,161.5,False,False,False,False,False,False,False,False,False
4,15,18,48,190.0,188.5,187.0,185.0,170.0,143.0,167.0,False,False,False,False,False,True,False,False,False
4,15,19,44,191.0,190.0,186.0,185.5,173.0,144.0,143.0,False,False,False,False,False,False,False,False,False
4,15,25,63,190.0,190.0,187.5,185.5,170.5,143.5,146.0,False,False,False,False,False,False,False,False,False
4,15,31,78,190.0,189.5,183.5,185.0,171.0,130.0,131.0,False,False,False,False,False,False,False,False,False
4,15,37,94,184.0,179.5,178.25,175.5,158.5,131.5,142.0,False,False,False,False,False,False,False,False,False
4,15,39,96,178.0,171.5,169.0,163.5,144.0,124.0,131.25,False,False,False,False,False,False,False,False,False
5,2,3,32,152.5,126.5,109.5,110.5,98.5,110.5,167.0,False,False,False,False,False,True,False,False,False
5,2,7,33,117.0,92.0,106.5,80.0,80.0,161.75,167.0,False,False,False,False,True,True,False,False,False
5,2,9,26,116.5,85.0,111.5,83.0,96.5,161.75,167.0,False,False,False,False,True,True,False,False,False
5,2,10,24,155.0,116.5,136.5,107.0,113.0,161.75,167.0,False,False,False,False,True,True,False,False,False
5,2,14,31,139.0,106.0,81.0,115.5,112.0,107.0,167.0,False,False,False,False,False,True,False,False,False
5,2,15,28,104.5,188.5,186.375,87.5,82.0,161.75,167.0,True,True,False,False,True,True,False,False,False
5,2,16,45,163.0,120.5,94.0,120.5,119.0,95.5,91.0,False,False,False,False,False,False,False,False,False
5,2,17,41,115.0,84.0,109.0,87.0,91.5,94.0,167.0,False,False,False,False,False,True,False,False,False
5,2,18,48,81.5,188.5,186.375,184.625,172.5,98.5,167.0,True,True,True,True,False,True,False,False,False
5,2,27,64,125.0,83.0,80.5,88.5,93.5,106.5,167.0,False,False,False,False,False,True,False,False,False
5,2,30,79,120.5,82.5,94.0,94.0,104.5,86.0,167.0,False,False,False,False,False,True,False,False,False
5,2,33,81,82.5,188.5,186.375,80.0,79.0,161.75,167.0,True,True,False,False,True,True,False,False,False
1013,11,14,31,150.5,133.5,122.0,121.0,109.0,84.5,103.0,False,False,False,False,False,False,False,False,False
1013,11,16,45,140.5,109.5,104.5,108.5,98.0,105.5,167.0,False,False,False,False,False,True,False,False,False
1013,11,27,64,138.5,108.0,186.375,122.5,98.5,161.75,167.0,False,True,False,False,True,True,False,False,False
1013,11,30,79,127.0,81.0,91.0,103.5,81.0,98.0,167.0,False,False,False,False,False,True,False,False,False
1013,11,42,80,101.0,188.5,186.375,184.625,172.5,161.75,167.0,True,True,True,True,True,True,False,False,False
1014,10,9,26,87.0,188.5,186.375,184.625,172.5,161.75,167.0,True,True,True,True,True,True,False,False,False
1014,10,14,31,130.5,113.5,104.5,118.0,100.5,161.75,167.0,False,False,False,False,True,True,False,False,False
1014,10,16,45,116.0,93.0,98.5,87.5,94.5,122.5,167.0,False,False,False,False,False,True,False,False,False
1,13,8,14,191.0,190.0,189.5,189.0,182.0,156.5,165.5,False,False,False,False,False,False,False,False,False
1,13,9,26,190.0,190.0,190.0,186.5,182.5,182.0,178.3333333,False,False,False,False,False,False,False,False,False
1,13,12,34,196.0,194.5,193.5,192.0,188.5,181.5,185.5,False,False,False,False,False,False,False,False,False
1,13,14,31,198.25,197.0,196.5,195.0,192.0,193.5,195.5,False,False,False,False,False,False,False,False,False
1,13,16,45,196.5,194.5,192.0,192.0,190.0,186.5,189.0,False,False,False,False,False,False,False,False,False
1,13,17,41,193.5,191.5,193.0,190.5,189.0,190.0,176.5,False,False,False,False,False,False,False,False,False
1,13,19,44,193.5,192.0,190.5,190.0,185.0,166.5,165.5,False,False,False,False,False,False,False,False,False
1,13,22,53,190.0,188.0,182.5,185.0,172.5,180.5,179.0,False,False,False,False,False,False,False,False,False
1,13,24,62,190.0,187.0,186.5,180.5,171.5,155.0,167.0,False,False,False,False,False,True,False,False,False
1,13,25,63,193.5,192.0,190.5,190.0,180.5,163.0,170.0,False,False,False,False,False,False,False,False,False
1,13,29,75,188.0,185.0,178.5,178.5,164.0,142.5,167.0,False,False,False,False,False,True,False,False,False
1,13,30,79,192.0,190.0,190.0,189.5,183.5,160.0,176.0,False,False,False,False,False,False,False,False,False
1,13,32,83,185.0,180.0,174.5,175.0,167.5,147.0,167.0,False,False,False,False,False,True,False,False,False
1,13,34,74,187.0,184.5,179.0,178.5,168.5,144.5,167.0,False,False,False,False,False,True,False,False,False
1,13,38,92,179.0,176.5,168.0,169.75,166.5,131.0,167.0,False,False,False,False,False,True,False,False,False
1,13,41,27,175.0,164.5,164.0,168.5,151.5,157.0,167.0,False,False,False,False,False,True,False,False,False
1,13,42,80,177.0,163.5,151.5,170.5,161.5,161.75,137.5,False,False,False,False,True,False,False,False,False
2,12,4,8,163.5,159.5,146.0,151.5,142.0,115.5,167.0,False,False,False,False,False,True,False,False,False
2,12,10,24,190.0,190.0,186.0,183.0,174.0,146.5,184.0,False,False,False,False,False,False,False,False,False
2,12,11,25,189.0,186.5,184.5,177.5,159.5,135.5,167.0,False,False,False,False,False,True,False,False,False
2,12,13,22,168.5,159.5,150.0,157.0,140.5,120.0,167.0,False,False,False,False,False,True,False,False,False
2,12,21,50,187.0,183.0,181.0,175.0,172.5,149.0,126.5,False,False,False,False,False,False,False,False,False
2,12,23,60,192.0,190.0,187.0,184.0,173.5,154.0,167.0,False,False,False,False,False,True,False,False,False
2,12,26,59,190.0,190.0,185.0,178.0,168.0,141.5,167.0,False,False,False,False,False,True,False,False,False
2,12,28,67,167.5,163.0,162.5,154.5,147.5,123.5,113.5,False,False,False,False,False,False,False,False,False
2,12,35,90,182.5,177.5,174.5,166.0,156.0,134.0,173.0,False,False,False,False,False,False,False,False,False
2,12,36,89,177.5,172.0,175.5,166.0,150.0,129.75,167.0,False,False,False,False,False,True,False,False,False
2,12,40,99,174.5,165.5,158.5,156.5,145.5,130.5,136.0,False,False,False,False,False,False,False,False,False
4,14,1,6,191.5,190.0,189.5,188.0,183.0,163.5,167.0,False,False,False,False,False,True,False,False,False
4,14,5,11,184.0,180.0,184.0,173.5,165.0,139.5,167.0,False,False,False,False,False,True,False,False,False
4,14,6,10,188.5,186.0,186.0,180.0,172.5,169.5,155.5,False,False,False,False,False,False,False,False,False
4,14,12,34,193.0,192.0,192.0,190.0,185.0,163.5,168.5,False,False,False,False,False,False,False,False,False
4,14,14,31,195.0,194.0,192.5,191.0,189.75,184.0,167.0,False,False,False,False,False,True,False,False,False
4,14,16,45,193.0,192.0,190.0,190.0,188.5,173.5,182.0,False,False,False,False,False,False,False,False,False
4,14,18,48,190.0,190.0,189.0,187.0,175.5,155.0,167.0,False,False,False,False,False,True,False,False,False
4,14,19,44,191.0,190.5,190.0,189.0,175.5,159.5,129.0,False,False,False,False,False,False,False,False,False
4,14,25,63,191.5,190.5,190.0,189.5,175.0,155.5,152.5,False,False,False,False,False,False,False,False,False
4,14,31,78,190.0,190.0,189.0,185.5,172.5,152.0,137.0,False,False,False,False,False,False,False,False,False
4,14,37,94,186.5,183.5,182.0,175.0,164.0,135.5,140.0,False,False,False,False,False,False,False,False,False
4,14,39,96,178.5,172.5,156.5,164.0,153.0,126.5,110.5,False,False,False,False,False,False,False,False,False
5,1,3,32,133.0,86.5,97.5,92.0,86.0,161.75,167.0,False,False,False,False,True,True,False,False,False
5,1,7,33,101.0,79.5,186.375,94.5,80.0,161.75,167.0,False,True,False,False,True,True,False,False,False
5,1,9,26,109.0,88.0,186.375,88.5,80.0,99.5,167.0,False,True,False,False,False,True,False,False,False
5,1,10,24,127.5,91.0,186.375,88.5,81.5,100.0,167.0,False,True,False,False,False,True,False,False,False
5,1,14,31,128.0,91.5,98.0,104.0,91.0,118.0,167.0,False,False,False,False,False,True,False,False,False
5,1,15,28,94.0,188.5,186.375,184.625,172.5,161.75,167.0,True,True,True,True,True,True,False,False,False
5,1,16,45,125.0,83.0,84.0,100.0,86.5,161.75,167.0,False,False,False,False,True,True,False,False,False
5,1,17,41,98.5,81.0,88.0,80.5,80.0,161.75,167.0,False,False,False,False,True,True,False,False,False
5,1,18,48,81.5,188.5,186.375,184.625,172.5,161.75,167.0,True,True,True,True,True,True,False,False,False
5,1,27,64,113.0,85.5,89.5,81.0,88.5,161.75,167.0,False,False,False,False,True,True,False,False,False
5,1,30,79,98.5,81.0,86.5,83.0,83.5,161.75,167.0,False,False,False,False,True,True,False,False,False
5,1,33,77,80.0,188.5,186.375,184.625,172.5,161.75,167.0,True,True,True,True,True,True,False,False,False
1013,11,14,31,148.0,138.0,101.5,127.0,112.0,110.5,167.0,False,False,False,False,False,True,False,False,False
1013,11,16,45,128.0,94.5,99.0,111.0,83.5,113.5,167.0,False,False,False,False,False,True,False,False,False
1013,11,27,64,136.5,118.5,123.0,121.5,98.0,96.0,167.0,False,False,False,False,False,True,False,False,False
1013,11,30,79,107.5,89.5,186.375,83.0,80.0,85.5,167.0,False,True,False,False,False,True,False,False,False
1013,11,42,80,113.5,188.5,186.375,184.625,172.5,161.75,167.0,True,True,True,True,True,True,False,False,False
1014,10,9,26,80.0,188.5,186.375,184.625,172.5,161.75,167.0,True,True,True,True,True,True,False,False,False
1014,10,14,31,143.5,112.0,82.0,114.5,103.0,161.75,167.0,False,False,False,False,True,True,False,False,False
1014,10,16,45,118.0,80.0,86.0,86.0,81.0,161.75,167.0,False,False,False,False,True,True,False,False,False
